Survival_Time,Censoring,Time_Trawl,Time_Difference_Tow,Fork_Length,Handling_Time,Log_Total_Catch
51.3,0,100,23,50,8,7.029
5.3,1,100,23,47,13,7.029
3.2,1,100,23,45,13,7.029
3.3,1,100,23,46,13,7.029
3.2,1,100,23,38,13,7.029
3.1,1,100,23,33,18,7.029
3.1,1,100,23,34,18,7.029
3.1,1,100,23,45,18,7.029
51,0,100,23,54,18,7.029
3,1,100,23,49,23,7.029
5.2,1,100,23,39,23,7.029
3,1,100,23,43,23,7.029
3,1,100,23,46,23,7.029
3.2,1,100,23,43,23,7.029
13,1,100,23,39,23,7.029
4.2,1,100,23,45,28,7.029
5,1,100,23,33,28,7.029
33.9,1,100,23,42,28,7.029
7.9,1,100,23,43,28,7.029
2.5,1,100,23,41,28,7.029
8,1,100,23,52,28,7.029
2.7,1,100,23,37,28,7.029
2.9,1,100,23,42,28,7.029
4,1,100,23,36,33,7.029
7.8,1,100,23,35,33,7.029
2.6,1,100,23,33,33,7.029
2.8,1,100,23,37,36,7.029
2.6,1,100,23,43,36,7.029
2.8,1,100,23,36,36,7.029
10.5,1,100,10,42,4,4.203
23.5,1,100,10,53,4,4.203
11.8,1,100,10,48,4,4.203
23.5,1,100,10,50,4,4.203
10.5,1,100,10,49,6,4.203
39.4,1,100,10,53,6,4.203
1.5,1,100,10,38,7,4.203
11.8,1,100,10,51,8,4.203
11.8,1,100,10,49,8,4.203
1.5,1,100,10,37,9,4.203
1.5,1,100,10,49,9,4.203
10.4,1,100,10,49,10,4.203
1.7,1,100,10,45,10,4.203
10.4,1,100,10,46,11,4.203
82.3,1,100,10,41,12,4.203
10.4,1,100,10,46,12,4.203
1.5,1,100,10,48,12,4.203
10.4,1,100,10,48,13,4.203
11.7,1,100,10,55,13,4.203
1.4,1,100,10,37,14,4.203
159,1,100,10,34,15,4.203
1.4,1,100,10,34,15,4.203
11.6,1,100,10,53,16,4.203
23.2,1,100,10,44,16,4.203
3.2,1,100,10,37,16,4.203
1.5,1,100,10,34,16,4.203
102.2,1,100,10,36,17,4.203
82.2,1,100,10,31,18,4.203
1.4,1,100,10,34,18,4.203
3.2,1,100,10,30,19,4.203
1.3,1,100,10,42,19,4.203
1.3,1,100,10,33,20,4.203
1.2,1,100,10,34,20,4.203
23.2,1,100,10,37,20,4.203
1.3,1,100,10,38,21,4.203
3.2,1,100,10,32,21,4.203
1.1,1,100,10,30,21,4.203
23.1,1,100,10,29,22,4.203
1.3,1,100,10,32,22,4.203
108.1,1,100,10,30,22,4.203
1.9,1,100,49,51,14,7.164
1.6,1,100,49,51,30,7.164
9.4,0,100,49,42,33,7.164
51.4,0,100,58,57,21,5.805
52,1,100,58,52,25,5.805
51.4,1,100,58,53,30,5.805
